PRISM Time Series Data,,,,,,,,
Locations: 24,,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax",,,,,,,,
cm1,-118.7575,36.5608,6857,2016-11,2.03,36.3,44.1,51.9
cm1,-118.7575,36.5608,6857,2016-12,9.25,27.7,34.8,42
cm1,-118.7575,36.5608,6857,2017-01,29.13,25.8,31.6,37.4
cm1,-118.7575,36.5608,6857,2017-02,13.8,29.7,35.8,42
cm1,-118.7575,36.5608,6857,2017-03,3.86,33.7,41.8,49.9
cm1,-118.7575,36.5608,6857,2017-04,4.85,34.9,42.7,50.4
cm1,-118.7575,36.5608,6857,2017-05,0.77,42.1,51.9,61.7
cm1,-118.7575,36.5608,6857,2017-06,0.48,53.3,62.6,71.9
cm1,-118.7575,36.5608,6857,2017-07,0.01,60.4,70.1,79.9
cm1,-118.7575,36.5608,6857,2017-08,0.22,57.3,67.7,78.2
cm1,-118.7575,36.5608,6857,2017-09,0.65,48.5,58.5,68.5
cm1,-118.7575,36.5608,6857,2017-10,0.12,44.6,53.8,63
cm1,-118.7575,36.5608,6857,2017-11,3.73,38.5,46.5,54.5
cm1,-118.7575,36.5608,6857,2017-12,0.13,35.4,43.1,50.8
cm1,-118.7575,36.5608,6857,2018-01,4.1,33.1,41.2,49.2
cm1,-118.7575,36.5608,6857,2018-02,1.09,28.5,36.7,44.9
cm1,-118.7575,36.5608,6857,2018-03,15.15,27.1,34.7,42.3
cm1,-118.7575,36.5608,6857,2018-04,4.13,36.7,45.2,53.7
cm1,-118.7575,36.5608,6857,2018-05,0.87,42.1,50,57.9
cm1,-118.7575,36.5608,6857,2018-06,0,51.2,61,70.8
cm1,-118.7575,36.5608,6857,2018-07,0.58,59.3,69.2,79.1
cm1,-118.7575,36.5608,6857,2018-08,0,54.7,66,77.3
cm1,-118.7575,36.5608,6857,2018-09,0,53.5,63,72.5
cm1,-118.7575,36.5608,6857,2018-10,2.81,43.4,50.3,57.1
cm1,-118.7575,36.5608,6857,2018-11,6.09,38.8,45.6,52.3
cm1,-118.7575,36.5608,6857,2018-12,2.12,31.4,38.5,45.6
,,,,,,,,
cm2,-118.7551,36.5519,6450,2011-01,3.35,33,39.2,45.4
cm2,-118.7551,36.5519,6450,2011-02,7,26.1,32.9,39.8
cm2,-118.7551,36.5519,6450,2011-03,12.55,29.2,35.7,42.1
cm2,-118.7551,36.5519,6450,2011-04,2.47,33.5,40.7,47.9
cm2,-118.7551,36.5519,6450,2011-05,3.27,35.8,43.2,50.7
cm2,-118.7551,36.5519,6450,2011-06,0.97,46.5,54.7,62.9
cm2,-118.7551,36.5519,6450,2011-07,0.65,55,64,72.9
cm2,-118.7551,36.5519,6450,2011-08,0.1,56.7,66.1,75.6
cm2,-118.7551,36.5519,6450,2011-09,0.51,54.9,63.5,72.1
cm2,-118.7551,36.5519,6450,2011-10,3.27,46.4,53.3,60.3
cm2,-118.7551,36.5519,6450,2011-11,2.22,33.5,39.9,46.2
cm2,-118.7551,36.5519,6450,2011-12,0,31.3,36.6,42
cm2,-118.7551,36.5519,6450,2012-01,7.16,34.7,42.7,50.7
cm2,-118.7551,36.5519,6450,2012-02,1.88,29.5,36.2,43
cm2,-118.7551,36.5519,6450,2012-03,5.79,29.6,38.7,47.8
cm2,-118.7551,36.5519,6450,2012-04,6.65,34.9,43.9,52.9
cm2,-118.7551,36.5519,6450,2012-05,0.15,42.8,53.3,63.9
cm2,-118.7551,36.5519,6450,2012-06,0.14,49.7,60.5,71.3
cm2,-118.7551,36.5519,6450,2012-07,0,55.1,66,76.9
cm2,-118.7551,36.5519,6450,2012-08,0.04,57.8,69.8,81.8
cm2,-118.7551,36.5519,6450,2012-09,0,52.8,64.3,75.8
cm2,-118.7551,36.5519,6450,2012-10,0.98,45.5,53.1,60.8
cm2,-118.7551,36.5519,6450,2012-11,2.85,36.5,43.9,51.3
cm2,-118.7551,36.5519,6450,2012-12,10.05,26,32.4,38.9
cm2,-118.7551,36.5519,6450,2013-01,2.33,24.4,32.1,39.8
cm2,-118.7551,36.5519,6450,2013-02,1.09,25.5,34.6,43.7
cm2,-118.7551,36.5519,6450,2013-03,1.05,33.4,42.6,51.7
cm2,-118.7551,36.5519,6450,2013-04,1.03,36.3,46,55.7
cm2,-118.7551,36.5519,6450,2013-05,1.37,43,52.1,61.2
cm2,-118.7551,36.5519,6450,2013-06,0,52.2,62.9,73.6
cm2,-118.7551,36.5519,6450,2013-07,0.27,58.2,69.4,80.7
cm2,-118.7551,36.5519,6450,2013-08,0.16,52,64.7,77.3
cm2,-118.7551,36.5519,6450,2013-09,0.17,47.4,59.4,71.3
cm2,-118.7551,36.5519,6450,2013-10,1.11,41.8,50.2,58.5
cm2,-118.7551,36.5519,6450,2013-11,0.61,35.7,43.6,51.6
cm2,-118.7551,36.5519,6450,2013-12,1.04,31.7,38.5,45.2
cm2,-118.7551,36.5519,6450,2014-01,1.29,37.6,45.1,52.8
cm2,-118.7551,36.5519,6450,2014-02,3.99,32.8,40.7,48.6
cm2,-118.7551,36.5519,6450,2014-03,4.67,34.1,42.2,50.3
cm2,-118.7551,36.5519,6450,2014-04,3.99,36.6,45.6,54.6
cm2,-118.7551,36.5519,6450,2014-05,1.33,42.1,52,62
cm2,-118.7551,36.5519,6450,2014-06,0,53.7,63.3,73
cm2,-118.7551,36.5519,6450,2014-07,0.18,57.6,68.9,80.4
cm2,-118.7551,36.5519,6450,2014-08,0.11,52.8,64.9,76.9
cm2,-118.7551,36.5519,6450,2014-09,0.75,51.2,62.4,73.4
cm2,-118.7551,36.5519,6450,2014-10,0,48.3,57.3,66.2
cm2,-118.7551,36.5519,6450,2014-11,2.37,37.2,44.2,52.6
cm2,-118.7551,36.5519,6450,2014-12,5.92,29.8,36.3,42.9
cm2,-118.7551,36.5519,6450,2015-01,0.23,35,42.1,49.2
cm2,-118.7551,36.5519,6450,2015-02,4.84,37.8,46.5,55.2
cm2,-118.7551,36.5519,6450,2015-03,0.48,38.2,45.9,53.5
cm2,-118.7551,36.5519,6450,2015-04,1.66,35.7,44.6,53.5
cm2,-118.7551,36.5519,6450,2015-05,1.7,38.1,46.8,55.5
cm2,-118.7551,36.5519,6450,2015-06,0.81,52,63.1,74.2
cm2,-118.7551,36.5519,6450,2015-07,2.2,53.4,63.5,73.7
cm2,-118.7551,36.5519,6450,2015-08,0,54.8,66.4,78
cm2,-118.7551,36.5519,6450,2015-09,0.12,51.2,62.3,73.5
cm2,-118.7551,36.5519,6450,2015-10,1.88,44.9,53.4,61.8
cm2,-118.7551,36.5519,6450,2015-11,4.87,28.7,37,45.4
cm2,-118.7551,36.5519,6450,2015-12,6.62,24.6,31.7,38.9
cm2,-118.7551,36.5519,6450,2016-01,9.1,27.6,34.7,41.7
cm2,-118.7551,36.5519,6450,2016-02,3.63,32.1,42.2,52.3
cm2,-118.7551,36.5519,6450,2016-03,6.19,32.8,40.9,48.9
cm2,-118.7551,36.5519,6450,2016-04,3.11,37.5,45.5,53.5
cm2,-118.7551,36.5519,6450,2016-05,1.04,40.9,49.1,57.2
cm2,-118.7551,36.5519,6450,2016-06,0.27,55.2,64.6,74
cm2,-118.7551,36.5519,6450,2016-07,0,59.2,69.3,79.4
cm2,-118.7551,36.5519,6450,2016-08,0,56.5,67.5,78.5
cm2,-118.7551,36.5519,6450,2016-09,0,47.6,59.3,71
cm2,-118.7551,36.5519,6450,2016-10,2.7,42,51.3,60.5
cm2,-118.7551,36.5519,6450,2016-11,2.02,36.3,44.2,52.2
cm2,-118.7551,36.5519,6450,2016-12,8.9,27.8,34.7,41.6
cm2,-118.7551,36.5519,6450,2017-01,28.14,26.4,31.7,37
cm2,-118.7551,36.5519,6450,2017-02,13.79,30.9,37.2,43.5
cm2,-118.7551,36.5519,6450,2017-03,3.69,34,42.7,51.4
cm2,-118.7551,36.5519,6450,2017-04,4.55,35.4,43.6,51.7
cm2,-118.7551,36.5519,6450,2017-05,0.72,42.6,52.6,62.5
cm2,-118.7551,36.5519,6450,2017-06,0.47,53.8,63.4,73
cm2,-118.7551,36.5519,6450,2017-07,0.01,60.2,70.6,81.1
cm2,-118.7551,36.5519,6450,2017-08,0.2,56.1,67.8,79.5
cm2,-118.7551,36.5519,6450,2017-09,0.62,47.5,58.7,69.8
cm2,-118.7551,36.5519,6450,2017-10,0.1,44.4,54.1,63.8
cm2,-118.7551,36.5519,6450,2017-11,3.57,37.7,46.2,54.7
cm2,-118.7551,36.5519,6450,2017-12,0.13,35.3,42.9,50.5
cm2,-118.7551,36.5519,6450,2018-01,3.91,34.5,41.7,48.8
cm2,-118.7551,36.5519,6450,2018-02,1.03,30,38.2,46.4
cm2,-118.7551,36.5519,6450,2018-03,14.56,28.3,36.2,44
cm2,-118.7551,36.5519,6450,2018-04,3.91,37.2,46.1,55
cm2,-118.7551,36.5519,6450,2018-05,0.79,42.5,50.8,59.1
cm2,-118.7551,36.5519,6450,2018-06,0,51.6,61.9,72.1
cm2,-118.7551,36.5519,6450,2018-07,0.55,59.2,69.9,80.5
cm2,-118.7551,36.5519,6450,2018-08,0,54.2,66.5,78.7
cm2,-118.7551,36.5519,6450,2018-09,0,52.6,63.3,73.9
cm2,-118.7551,36.5519,6450,2018-10,2.51,42.9,50.6,58.3
cm2,-118.7551,36.5519,6450,2018-11,5.8,37.9,45.4,52.9
cm2,-118.7551,36.5519,6450,2018-12,2.06,31.6,38.6,45.6
,,,,,,,,
cm3,-118.7528,36.553,6407,2011-01,3.36,32.9,39.3,45.7
cm3,-118.7528,36.553,6407,2011-02,6.97,25.4,32.7,40.1
cm3,-118.7528,36.553,6407,2011-03,12.55,28.4,35.4,42.4
cm3,-118.7528,36.553,6407,2011-04,2.49,32.8,40.5,48.2
cm3,-118.7528,36.553,6407,2011-05,3.21,35.2,43.2,51.3
cm3,-118.7528,36.553,6407,2011-06,0.95,46.3,54.6,63
cm3,-118.7528,36.553,6407,2011-07,0.64,54.6,63.9,73.2
cm3,-118.7528,36.553,6407,2011-08,0.1,56.9,66.4,75.9
cm3,-118.7528,36.553,6407,2011-09,0.53,55.1,63.7,72.4
cm3,-118.7528,36.553,6407,2011-10,3.29,45.7,53.3,60.8
cm3,-118.7528,36.553,6407,2011-11,2.22,32.9,39.7,46.5
cm3,-118.7528,36.553,6407,2011-12,0,30.7,36.5,42.3
cm3,-118.7528,36.553,6407,2012-01,7.19,34.4,42.5,50.6
cm3,-118.7528,36.553,6407,2012-02,1.87,28.9,36.1,43.3
cm3,-118.7528,36.553,6407,2012-03,5.82,28.8,38.3,47.8
cm3,-118.7528,36.553,6407,2012-04,6.66,34.3,43.7,53.1
cm3,-118.7528,36.553,6407,2012-05,0.14,42.4,53.4,64.3
cm3,-118.7528,36.553,6407,2012-06,0.14,49.8,60.5,71.3
cm3,-118.7528,36.553,6407,2012-07,0,54.9,66,77.1
cm3,-118.7528,36.553,6407,2012-08,0.03,57.9,70,82
cm3,-118.7528,36.553,6407,2012-09,0,53.1,64.5,76
cm3,-118.7528,36.553,6407,2012-10,0.97,44.5,52.9,61.2
cm3,-118.7528,36.553,6407,2012-11,2.89,36,43.8,51.6
cm3,-118.7528,36.553,6407,2012-12,10.11,25.9,32.4,38.9
cm3,-118.7528,36.553,6407,2013-01,2.33,24.5,32.1,39.7
cm3,-118.7528,36.553,6407,2013-02,1.09,25.5,34.8,44
cm3,-118.7528,36.553,6407,2013-03,1.06,32.8,42.4,52
cm3,-118.7528,36.553,6407,2013-04,1.04,36,45.9,55.9
cm3,-118.7528,36.553,6407,2013-05,1.37,42.5,52.1,61.6
cm3,-118.7528,36.553,6407,2013-06,0,52.1,62.9,73.6
cm3,-118.7528,36.553,6407,2013-07,0.26,57.7,69.3,80.9
cm3,-118.7528,36.553,6407,2013-08,0.16,51.9,64.7,77.5
cm3,-118.7528,36.553,6407,2013-09,0.18,47.6,59.5,71.5
cm3,-118.7528,36.553,6407,2013-10,1.13,41.7,50.3,58.9
cm3,-118.7528,36.553,6407,2013-11,0.61,35.3,43.6,51.9
cm3,-118.7528,36.553,6407,2013-12,1.05,30.8,38,45.2
cm3,-118.7528,36.553,6407,2014-01,1.3,37.2,45.1,53
cm3,-118.7528,36.553,6407,2014-02,3.96,32.2,40.4,48.6
cm3,-118.7528,36.553,6407,2014-03,4.68,33.5,42.1,50.6
cm3,-118.7528,36.553,6407,2014-04,4,36,45.4,54.8
cm3,-118.7528,36.553,6407,2014-05,1.31,41.7,52.1,62.4
cm3,-118.7528,36.553,6407,2014-06,0,53.6,63.2,73
cm3,-118.7528,36.553,6407,2014-07,0.18,57.2,68.8,80.6
cm3,-118.7528,36.553,6407,2014-08,0.11,53.2,65.1,77.1
cm3,-118.7528,36.553,6407,2014-09,0.76,51.3,62.5,73.6
cm3,-118.7528,36.553,6407,2014-10,0,47.4,57.1,66.6
cm3,-118.7528,36.553,6407,2014-11,2.36,37.2,44.2,52.9
cm3,-118.7528,36.553,6407,2014-12,5.93,29,35.9,42.8
cm3,-118.7528,36.553,6407,2015-01,0.24,34.3,41.7,49.1
cm3,-118.7528,36.553,6407,2015-02,4.85,37.1,46.2,55.4
cm3,-118.7528,36.553,6407,2015-03,0.47,38.1,46,53.8
cm3,-118.7528,36.553,6407,2015-04,1.66,35,44.4,53.7
cm3,-118.7528,36.553,6407,2015-05,1.72,37.8,46.9,55.9
cm3,-118.7528,36.553,6407,2015-06,0.81,52,63.1,74.3
cm3,-118.7528,36.553,6407,2015-07,2.2,52.9,63.4,73.9
cm3,-118.7528,36.553,6407,2015-08,0,54.6,66.4,78.2
cm3,-118.7528,36.553,6407,2015-09,0.12,51.8,62.7,73.7
cm3,-118.7528,36.553,6407,2015-10,1.9,44.3,53.3,62.2
cm3,-118.7528,36.553,6407,2015-11,4.87,28.5,37.1,45.7
cm3,-118.7528,36.553,6407,2015-12,6.64,23.9,31.4,39
cm3,-118.7528,36.553,6407,2016-01,9.14,27.6,34.8,41.9
cm3,-118.7528,36.553,6407,2016-02,3.61,31.2,41.7,52.3
cm3,-118.7528,36.553,6407,2016-03,6.22,32.1,40.7,49.2
cm3,-118.7528,36.553,6407,2016-04,3.13,37.1,45.4,53.7
cm3,-118.7528,36.553,6407,2016-05,1,40.4,49,57.6
cm3,-118.7528,36.553,6407,2016-06,0.27,55.3,64.6,74
cm3,-118.7528,36.553,6407,2016-07,0,58.7,69.2,79.6
cm3,-118.7528,36.553,6407,2016-08,0,56.7,67.7,78.7
cm3,-118.7528,36.553,6407,2016-09,0,48.2,59.7,71.2
cm3,-118.7528,36.553,6407,2016-10,2.73,41.5,51.2,60.9
cm3,-118.7528,36.553,6407,2016-11,2.02,36,44.3,52.5
cm3,-118.7528,36.553,6407,2016-12,8.91,27.7,34.6,41.5
cm3,-118.7528,36.553,6407,2017-01,28.36,26.2,31.7,37.2
cm3,-118.7528,36.553,6407,2017-02,13.57,30.3,37,43.7
cm3,-118.7528,36.553,6407,2017-03,3.7,33.8,42.8,51.7
cm3,-118.7528,36.553,6407,2017-04,4.55,35,43.4,51.8
cm3,-118.7528,36.553,6407,2017-05,0.71,42.5,52.7,62.9
cm3,-118.7528,36.553,6407,2017-06,0.47,53.2,63.1,73.1
cm3,-118.7528,36.553,6407,2017-07,0.01,59.6,70.4,81.3
cm3,-118.7528,36.553,6407,2017-08,0.2,56.4,68.1,79.7
cm3,-118.7528,36.553,6407,2017-09,0.63,47.5,58.8,70
cm3,-118.7528,36.553,6407,2017-10,0.1,43.5,53.9,64.2
cm3,-118.7528,36.553,6407,2017-11,3.59,37.5,46.2,54.9
cm3,-118.7528,36.553,6407,2017-12,0.13,34.4,42.4,50.3
cm3,-118.7528,36.553,6407,2018-01,3.93,34.5,41.6,48.7
cm3,-118.7528,36.553,6407,2018-02,1.04,29.8,38.3,46.7
cm3,-118.7528,36.553,6407,2018-03,14.6,27.6,35.9,44.3
cm3,-118.7528,36.553,6407,2018-04,3.92,36.8,46,55.1
cm3,-118.7528,36.553,6407,2018-05,0.79,42.3,50.9,59.5
cm3,-118.7528,36.553,6407,2018-06,0,51.6,61.9,72.1
cm3,-118.7528,36.553,6407,2018-07,0.54,58.8,69.7,80.7
cm3,-118.7528,36.553,6407,2018-08,0,54.5,66.7,78.9
cm3,-118.7528,36.553,6407,2018-09,0,51.9,63,74.1
cm3,-118.7528,36.553,6407,2018-10,2.6,41.8,50.3,58.7
cm3,-118.7528,36.553,6407,2018-11,5.91,37.3,45.3,53.4
cm3,-118.7528,36.553,6407,2018-12,2.06,31,38.4,45.7
,,,,,,,,
ic1,-119.0142,37.6894,8264,2011-01,1.31,13.5,29.9,46.3
ic1,-119.0142,37.6894,8264,2011-02,3.95,10,24.4,38.8
ic1,-119.0142,37.6894,8264,2011-03,8.06,19.2,30.4,41.5
ic1,-119.0142,37.6894,8264,2011-04,1.66,22.5,36.2,49.9
ic1,-119.0142,37.6894,8264,2011-05,1.57,26.5,39.4,52.3
ic1,-119.0142,37.6894,8264,2011-06,1.85,36,49.9,63.8
ic1,-119.0142,37.6894,8264,2011-07,0.17,38.1,56.2,74.4
ic1,-119.0142,37.6894,8264,2011-08,0.46,40,58.3,76.7
ic1,-119.0142,37.6894,8264,2011-09,0.62,36.1,53.7,71.2
ic1,-119.0142,37.6894,8264,2011-10,1.36,29.9,45.3,60.6
ic1,-119.0142,37.6894,8264,2011-11,1.36,19,32.5,46.1
ic1,-119.0142,37.6894,8264,2011-12,0,12.5,27.1,41.8
ic1,-119.0142,37.6894,8264,2012-01,4.15,18,33.5,49.1
ic1,-119.0142,37.6894,8264,2012-02,0.84,14.2,29.5,44.9
ic1,-119.0142,37.6894,8264,2012-03,3.96,21.2,33.2,45.2
ic1,-119.0142,37.6894,8264,2012-04,1.14,23.7,38.3,52.8
ic1,-119.0142,37.6894,8264,2012-05,0,30.3,46.6,62.9
ic1,-119.0142,37.6894,8264,2012-06,0.27,38.4,54.8,71.2
ic1,-119.0142,37.6894,8264,2012-07,0.18,39.8,58.1,76.5
ic1,-119.0142,37.6894,8264,2012-08,1.13,42.6,60.3,78
ic1,-119.0142,37.6894,8264,2012-09,0,36.1,54.5,72.8
ic1,-119.0142,37.6894,8264,2012-10,1,30.6,46.3,62
ic1,-119.0142,37.6894,8264,2012-11,2.12,23.6,37,50.4
ic1,-119.0142,37.6894,8264,2012-12,7,14.7,26.1,37.5
ic1,-119.0142,37.6894,8264,2013-01,1.05,8.4,24.5,40.6
ic1,-119.0142,37.6894,8264,2013-02,0.43,15.5,29.9,44.2
ic1,-119.0142,37.6894,8264,2013-03,1.03,22.5,37.4,52.4
ic1,-119.0142,37.6894,8264,2013-04,0.9,25.6,40.1,54.7
ic1,-119.0142,37.6894,8264,2013-05,0.26,31.2,45.8,60.5
ic1,-119.0142,37.6894,8264,2013-06,0.08,39.9,56,72
ic1,-119.0142,37.6894,8264,2013-07,0.38,47.3,62.6,77.9
ic1,-119.0142,37.6894,8264,2013-08,0.86,41,57.6,74.2
ic1,-119.0142,37.6894,8264,2013-09,0.44,38.8,53.3,67.9
ic1,-119.0142,37.6894,8264,2013-10,0.87,24.6,41.4,58.1
ic1,-119.0142,37.6894,8264,2013-11,0.33,22.3,36.3,50.3
ic1,-119.0142,37.6894,8264,2013-12,1.02,15.5,30.5,45.5
ic1,-119.0142,37.6894,8264,2014-01,1.24,19.7,35.4,51.1
ic1,-119.0142,37.6894,8264,2014-02,2.8,20.7,33.4,46
ic1,-119.0142,37.6894,8264,2014-03,2.44,20.6,34.4,48
ic1,-119.0142,37.6894,8264,2014-04,0.49,24.5,39,53.3
ic1,-119.0142,37.6894,8264,2014-05,0.66,30.4,45.6,60.8
ic1,-119.0142,37.6894,8264,2014-06,0.07,42.1,54.5,70.7
ic1,-119.0142,37.6894,8264,2014-07,1.25,47.1,60,77.4
ic1,-119.0142,37.6894,8264,2014-08,1.73,40,56.2,72.8
ic1,-119.0142,37.6894,8264,2014-09,0.31,36.7,53.5,70.8
ic1,-119.0142,37.6894,8264,2014-10,0,32.5,49,65.5
ic1,-119.0142,37.6894,8264,2014-11,0.79,23.9,38.8,53.1
ic1,-119.0142,37.6894,8264,2014-12,2.11,20.7,31,41.3
ic1,-119.0142,37.6894,8264,2015-01,0.17,19.7,34.5,49.3
ic1,-119.0142,37.6894,8264,2015-02,2.88,23.6,37.7,51.7
ic1,-119.0142,37.6894,8264,2015-03,0.43,22.4,38.2,54
ic1,-119.0142,37.6894,8264,2015-04,1.3,22.8,37.5,52.3
ic1,-119.0142,37.6894,8264,2015-05,2.22,30.8,43,55.2
ic1,-119.0142,37.6894,8264,2015-06,0.76,41.8,57.1,72.4
ic1,-119.0142,37.6894,8264,2015-07,1.83,42.4,56.9,71.3
ic1,-119.0142,37.6894,8264,2015-08,0.24,44.2,60.3,76.4
ic1,-119.0142,37.6894,8264,2015-09,0.46,39.5,55.3,71.2
ic1,-119.0142,37.6894,8264,2015-10,1.41,33.1,46.4,59.6
ic1,-119.0142,37.6894,8264,2015-11,3.34,15.4,29.5,43.6
ic1,-119.0142,37.6894,8264,2015-12,5.58,13.9,26.1,38.3
ic1,-119.0142,37.6894,8264,2016-01,5.49,13.9,27.3,40.6
ic1,-119.0142,37.6894,8264,2016-02,1.68,17.7,34,50.4
ic1,-119.0142,37.6894,8264,2016-03,4.13,23.7,36.4,49.2
ic1,-119.0142,37.6894,8264,2016-04,1.5,25.9,39.6,53.2
ic1,-119.0142,37.6894,8264,2016-05,0.98,30,43.3,56.6
ic1,-119.0142,37.6894,8264,2016-06,1.5,41.3,56.6,72
ic1,-119.0142,37.6894,8264,2016-07,0.06,44.4,61.2,78
ic1,-119.0142,37.6894,8264,2016-08,0.07,44.7,61.1,77.4
ic1,-119.0142,37.6894,8264,2016-09,0.12,35.1,52.3,69.4
ic1,-119.0142,37.6894,8264,2016-10,6.32,32,44.9,57.9
ic1,-119.0142,37.6894,8264,2016-11,1.88,23.3,37.2,51.1
ic1,-119.0142,37.6894,8264,2016-12,5.4,16.7,29.2,41.8
ic1,-119.0142,37.6894,8264,2017-01,18.76,14.1,25.2,36.3
ic1,-119.0142,37.6894,8264,2017-02,11.17,18.4,29.2,40
ic1,-119.0142,37.6894,8264,2017-03,2.78,20.6,35,49.4
ic1,-119.0142,37.6894,8264,2017-04,6.14,23.5,36.8,50
ic1,-119.0142,37.6894,8264,2017-05,0.64,29.9,45.2,60.5
ic1,-119.0142,37.6894,8264,2017-06,0.19,39.4,55.4,71.3
ic1,-119.0142,37.6894,8264,2017-07,0.1,48.6,63.8,79
ic1,-119.0142,37.6894,8264,2017-08,0.66,42.2,59,75.8
ic1,-119.0142,37.6894,8264,2017-09,0.86,35.9,50.7,65.5
ic1,-119.0142,37.6894,8264,2017-10,0.23,27.1,44.9,62.7
ic1,-119.0142,37.6894,8264,2017-11,4.38,26.2,39,51.7
ic1,-119.0142,37.6894,8264,2017-12,0.19,18,33.6,49.2
ic1,-119.0142,37.6894,8264,2018-01,2.25,21.2,33.9,46.6
ic1,-119.0142,37.6894,8264,2018-02,0.74,13.1,27.7,42.4
ic1,-119.0142,37.6894,8264,2018-03,10.04,15.7,28.2,40.7
ic1,-119.0142,37.6894,8264,2018-04,2.06,26,40.1,54.3
ic1,-119.0142,37.6894,8264,2018-05,1.25,31.9,45.2,58.4
ic1,-119.0142,37.6894,8264,2018-06,0,37.8,55.5,73.1
ic1,-119.0142,37.6894,8264,2018-07,0.86,46.9,63,79
ic1,-119.0142,37.6894,8264,2018-08,0,45.8,61.7,77.6
ic1,-119.0142,37.6894,8264,2018-09,0.01,37.2,54.3,71.4
ic1,-119.0142,37.6894,8264,2018-10,0.75,28.4,42.6,56.8
ic1,-119.0142,37.6894,8264,2018-11,4.53,23.5,37.7,51.8
ic1,-119.0142,37.6894,8264,2018-12,1.21,17,28.8,40.5
,,,,,,,,
ic2,-119.0151,37.6887,8264,2011-01,1.31,13.5,29.9,46.3
ic2,-119.0151,37.6887,8264,2011-02,3.95,10,24.4,38.8
ic2,-119.0151,37.6887,8264,2011-03,8.06,19.2,30.4,41.5
ic2,-119.0151,37.6887,8264,2011-04,1.66,22.5,36.2,49.9
ic2,-119.0151,37.6887,8264,2011-05,1.57,26.5,39.4,52.3
ic2,-119.0151,37.6887,8264,2011-06,1.85,36,49.9,63.8
ic2,-119.0151,37.6887,8264,2011-07,0.17,38.1,56.2,74.4
ic2,-119.0151,37.6887,8264,2011-08,0.46,40,58.3,76.7
ic2,-119.0151,37.6887,8264,2011-09,0.62,36.1,53.7,71.2
ic2,-119.0151,37.6887,8264,2011-10,1.36,29.9,45.3,60.6
ic2,-119.0151,37.6887,8264,2011-11,1.36,19,32.5,46.1
ic2,-119.0151,37.6887,8264,2011-12,0,12.5,27.1,41.8
ic2,-119.0151,37.6887,8264,2012-01,4.15,18,33.5,49.1
ic2,-119.0151,37.6887,8264,2012-02,0.84,14.2,29.5,44.9
ic2,-119.0151,37.6887,8264,2012-03,3.96,21.2,33.2,45.2
ic2,-119.0151,37.6887,8264,2012-04,1.14,23.7,38.3,52.8
ic2,-119.0151,37.6887,8264,2012-05,0,30.3,46.6,62.9
ic2,-119.0151,37.6887,8264,2012-06,0.27,38.4,54.8,71.2
ic2,-119.0151,37.6887,8264,2012-07,0.18,39.8,58.1,76.5
ic2,-119.0151,37.6887,8264,2012-08,1.13,42.6,60.3,78
ic2,-119.0151,37.6887,8264,2012-09,0,36.1,54.5,72.8
ic2,-119.0151,37.6887,8264,2012-10,1,30.6,46.3,62
ic2,-119.0151,37.6887,8264,2012-11,2.12,23.6,37,50.4
ic2,-119.0151,37.6887,8264,2012-12,7,14.7,26.1,37.5
ic2,-119.0151,37.6887,8264,2013-01,1.05,8.4,24.5,40.6
ic2,-119.0151,37.6887,8264,2013-02,0.43,15.5,29.9,44.2
ic2,-119.0151,37.6887,8264,2013-03,1.03,22.5,37.4,52.4
ic2,-119.0151,37.6887,8264,2013-04,0.9,25.6,40.1,54.7
ic2,-119.0151,37.6887,8264,2013-05,0.26,31.2,45.8,60.5
ic2,-119.0151,37.6887,8264,2013-06,0.08,39.9,56,72
ic2,-119.0151,37.6887,8264,2013-07,0.38,47.3,62.6,77.9
ic2,-119.0151,37.6887,8264,2013-08,0.86,41,57.6,74.2
ic2,-119.0151,37.6887,8264,2013-09,0.44,38.8,53.3,67.9
ic2,-119.0151,37.6887,8264,2013-10,0.87,24.6,41.4,58.1
ic2,-119.0151,37.6887,8264,2013-11,0.33,22.3,36.3,50.3
ic2,-119.0151,37.6887,8264,2013-12,1.02,15.5,30.5,45.5
ic2,-119.0151,37.6887,8264,2014-01,1.24,19.7,35.4,51.1
ic2,-119.0151,37.6887,8264,2014-02,2.8,20.7,33.4,46
ic2,-119.0151,37.6887,8264,2014-03,2.44,20.6,34.4,48
ic2,-119.0151,37.6887,8264,2014-04,0.49,24.5,39,53.3
ic2,-119.0151,37.6887,8264,2014-05,0.66,30.4,45.6,60.8
ic2,-119.0151,37.6887,8264,2014-06,0.07,42.1,54.5,70.7
ic2,-119.0151,37.6887,8264,2014-07,1.25,47.1,60,77.4
ic2,-119.0151,37.6887,8264,2014-08,1.73,40,56.2,72.8
ic2,-119.0151,37.6887,8264,2014-09,0.31,36.7,53.5,70.8
ic2,-119.0151,37.6887,8264,2014-10,0,32.5,49,65.5
ic2,-119.0151,37.6887,8264,2014-11,0.79,23.9,38.8,53.1
ic2,-119.0151,37.6887,8264,2014-12,2.11,20.7,31,41.3
ic2,-119.0151,37.6887,8264,2015-01,0.17,19.7,34.5,49.3
ic2,-119.0151,37.6887,8264,2015-02,2.88,23.6,37.7,51.7
ic2,-119.0151,37.6887,8264,2015-03,0.43,22.4,38.2,54
ic2,-119.0151,37.6887,8264,2015-04,1.3,22.8,37.5,52.3
ic2,-119.0151,37.6887,8264,2015-05,2.22,30.8,43,55.2
